fault_family,task,failure,intended_route,observed_route,route_reason,recovery_policy,seeds,perturbed_success,recovered_success,recovered_final_distance,interpretation,limitation
grasp_contact_uncertainty,GauzeRetrieve,jaw_stuck_open,human_review_or_observable_grasp_retry,human_review,grasp_outcome_uncertain,observable_phase_replan,10,0.000,1.000,0.014,Silent grasp-stage failure where the gripper outcome is unreliable.,"Observable proxy works, but the retry primitive still calls SurRoL task logic."
grasp_contact_uncertainty,NeedlePick,jaw_stuck_open,human_review_or_observable_grasp_retry,human_review,grasp_outcome_uncertain,observable_phase_replan,10,0.000,1.000,0.020,Silent grasp-stage failure where the gripper outcome is unreliable.,"Observable proxy works, but the retry primitive still calls SurRoL task logic."
near_target_recovery_risk,GauzeRetrieve,near_target_drift,auto_recovery,auto_recovery,reversible_action_or_execution_anomaly,risk_triage_oracle_override,5,0.000,1.000,0.011,Near-goal perturbation that is recoverable unless it enters a danger-zone proxy.,"Unsafe-zone routing is still geometric, not force/tissue-damage based."
near_target_recovery_risk,NeedlePick,near_target_drift,auto_recovery,auto_recovery,reversible_action_or_execution_anomaly,risk_triage_oracle_override,5,0.200,1.000,0.019,Near-goal perturbation that is recoverable unless it enters a danger-zone proxy.,"Unsafe-zone routing is still geometric, not force/tissue-damage based."
nominal_execution,GauzeRetrieve,none,auto_execute,auto_execute,nominal_no_alarm,observable_phase_replan,10,,1.000,0.013,Nominal SurRoL rollout without injected failure.,This is a specificity check rather than a failure case.
nominal_execution,NeedlePick,none,auto_execute,auto_execute,nominal_no_alarm,observable_phase_replan,10,,1.000,0.020,Nominal SurRoL rollout without injected failure.,This is a specificity check rather than a failure case.
nominal_execution,NeedleReach,none,auto_execute,auto_execute,nominal_no_alarm,oracle_override,5,,1.000,0.016,Nominal SurRoL rollout without injected failure.,This is a specificity check rather than a failure case.
reversible_execution_drift,GauzeRetrieve,action_dropout,auto_recovery,auto_recovery,reversible_action_or_execution_anomaly,internal_phase_replan,10,0.000,1.000,0.013,Intermittent zeroed actions; recovery should restore progress without human review.,Current recovery still uses simulator task primitives.
reversible_execution_drift,GauzeRetrieve,action_noise,auto_recovery,auto_recovery,reversible_action_or_execution_anomaly,internal_phase_replan,10,0.000,1.000,0.016,Low-level action perturbation that can often be corrected by short-window recovery.,Current recovery still uses simulator task primitives.
reversible_execution_drift,GauzeRetrieve,execution_slip,auto_recovery,auto_recovery,reversible_action_or_execution_anomaly,internal_phase_replan,10,0.000,1.000,0.013,Execution disturbance that may require phase-aware retry rather than plain override.,Slip is synthetic and should not be presented as real actuator validation.
reversible_execution_drift,NeedlePick,action_dropout,auto_recovery,auto_recovery,reversible_action_or_execution_anomaly,internal_phase_replan,10,0.000,1.000,0.021,Intermittent zeroed actions; recovery should restore progress without human review.,Current recovery still uses simulator task primitives.
reversible_execution_drift,NeedlePick,action_noise,auto_recovery,auto_recovery,reversible_action_or_execution_anomaly,internal_phase_replan,10,0.000,0.900,0.043,Low-level action perturbation that can often be corrected by short-window recovery.,NeedlePick has one remaining 10-seed failure case under action noise.
reversible_execution_drift,NeedlePick,execution_slip,auto_recovery,auto_recovery,reversible_action_or_execution_anomaly,internal_phase_replan,10,0.000,1.000,0.021,Execution disturbance that may require phase-aware retry rather than plain override.,Slip is synthetic and should not be presented as real actuator validation.
reversible_execution_drift,NeedleReach,action_freeze,auto_recovery,auto_recovery,reversible_action_or_execution_anomaly,oracle_override,5,0.000,1.000,0.016,Third-task breadth check where actions freeze and recovery re-enters progress.,"NeedleReach is a simpler reach task, not a full complex manipulation benchmark."
visual_state_error,GauzeRetrieve,depth_scale_error,human_review_reestimate,human_review,visual_state_uncertain,review_reestimate,10,0.000,1.000,0.013,Depth or scale error in state estimation; route to review/re-estimation.,"Re-estimation currently uses a clean simulator-state proxy, not a calibrated vision model."
visual_state_error,GauzeRetrieve,perception_bias,human_review_reestimate,human_review,visual_state_uncertain,review_reestimate,10,0.000,1.000,0.013,Biased visual/state estimate; blind action recovery should not be trusted.,"Re-estimation currently uses a clean simulator-state proxy, not a real perception rerun."
visual_state_error,NeedlePick,depth_scale_error,human_review_reestimate,human_review,visual_state_uncertain,review_reestimate,10,0.000,1.000,0.020,Depth or scale error in state estimation; route to review/re-estimation.,"Re-estimation currently uses a clean simulator-state proxy, not a calibrated vision model."
visual_state_error,NeedlePick,perception_bias,human_review_reestimate,human_review,visual_state_uncertain,review_reestimate,10,0.000,1.000,0.020,Biased visual/state estimate; blind action recovery should not be trusted.,"Re-estimation currently uses a clean simulator-state proxy, not a real perception rerun."
